epoch,train_loss,val_accuracy,training_time
1,0.7363098297939926,81.54639175257732,59.28674578666687
2,0.3685623610117396,85.6701030927835,59.52339696884155
3,0.2333388421379152,83.71134020618557,60.4831862449646
4,0.15200392633187967,85.6701030927835,60.02614402770996
5,0.08140005357563496,85.6701030927835,60.043736934661865
6,0.04791003564891756,84.02061855670104,60.098602294921875
7,0.02867514764523653,83.71134020618557,60.1884708404541
8,0.02763040400049115,84.5360824742268,60.242504596710205
9,0.017568769576562355,84.43298969072166,60.22822713851929
10,0.014418836022711923,84.84536082474227,60.2935357093811
